Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28b Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|Q86Y46|K2C73_HUMAN / sp|Q3SY84|K2C71_HUMAN / sp|Q14CN4|K2C72_HUMAN / sp|Q7RTS7|K2C74_HUMAN,"Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1
Keratin, type II cytoskeletal 71 OS=Homo sapiens OX=9606 GN=KRT71 PE=1 SV=3
Keratin, type II cytoskeletal 72 OS=Homo sapiens OX=9606 GN=KRT72 PE=1 SV=2
Keratin, type II cytoskeletal 74 OS=Homo sapiens OX=9606 GN=KRT74 PE=1 SV=2",KRT73 / KRT71 / KRT72 / KRT74,4.6049E+3,8.0548E+3,8.7914E+3
sp|Q8TEB1|DCA11_HUMAN,DDB1- and CUL4-associated factor 11 OS=Homo sapiens OX=9606 GN=DCAF11 PE=1 SV=1,DCAF11,6.7896E+4,5.1165E+4,7.0002E+4
sp|Q96EY8|MMAB_HUMAN,Corrinoid adenosyltransferase MMAB OS=Homo sapiens OX=9606 GN=MMAB PE=1 SV=1,MMAB,5.1595E+4,5.6994E+4,4.3340E+4
sp|Q9H0X4|F234A_HUMAN,Protein FAM234A OS=Homo sapiens OX=9606 GN=FAM234A PE=1 SV=1,FAM234A,4.4837E+5,3.7092E+5,5.1517E+5
sp|Q9H115|SNAB_HUMAN,Beta-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPB PE=1 SV=2,NAPB,5.0026E+4,5.8617E+4,4.1561E+4
sp|Q9H8J5|MANS1_HUMAN,MANSC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MANSC1 PE=1 SV=1,MANSC1,3.2431E+5,4.1079E+5,3.8051E+5
sp|Q9P2E3|ZNFX1_HUMAN,NFX1-type zinc finger-containing protein 1 OS=Homo sapiens OX=9606 GN=ZNFX1 PE=1 SV=2,ZNFX1,6.2128E+3,2.0416E+4,2.2970E+4
sp|Q9UL26|RB22A_HUMAN,Ras-related protein Rab-22A OS=Homo sapiens OX=9606 GN=RAB22A PE=1 SV=2,RAB22A,4.1664E+4,3.5873E+4,4.5672E+4
sp|Q9Y394|DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens OX=9606 GN=DHRS7 PE=1 SV=1,DHRS7,1.0850E+6,1.2288E+6,1.0582E+6
sp|A5PLN9|TPC13_HUMAN,Trafficking protein particle complex subunit 13 OS=Homo sapiens OX=9606 GN=TRAPPC13 PE=1 SV=2,TRAPPC13,4.1120E+3,3.1320E+4,3.6021E+4
sp|O43237|DC1L2_HUMAN,Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1,DYNC1LI2,1.0377E+5,8.9171E+4,8.8943E+4
sp|P02679|FIBG_HUMAN,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3,FGG,2.5684E+9,2.8195E+9,2.7779E+9
sp|P05160|F13B_HUMAN,Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3,F13B,1.1474E+6,1.3751E+6,1.3131E+6
sp|P08833|IBP1_HUMAN,Insulin-like growth factor-binding protein 1 OS=Homo sapiens OX=9606 GN=IGFBP1 PE=1 SV=1,IGFBP1,6.4236E+5,6.7168E+5,6.9482E+5
sp|P30085|KCY_HUMAN,UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3,CMPK1,9.1624E+5,9.1088E+5,8.3153E+5
sp|P34096|RNAS4_HUMAN,Ribonuclease 4 OS=Homo sapiens OX=9606 GN=RNASE4 PE=1 SV=3,RNASE4,5.8834E+4,6.3925E+4,6.1072E+4
sp|P50591|TNF10_HUMAN,Tumor necrosis factor ligand superfamily member 10 OS=Homo sapiens OX=9606 GN=TNFSF10 PE=1 SV=1,TNFSF10,9.9590E+3,1.0724E+4,1.5640E+4
sp|P51858|HDGF_HUMAN,Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1,HDGF,1.3530E+5,1.2529E+5,1.8158E+5
sp|Q15437|SC23B_HUMAN,Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2,SEC23B,2.6685E+4,3.9171E+4,3.1392E+4
sp|Q2M2I8|AAK1_HUMAN,AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3,AAK1,1.2091E+4,6.2215E+3,7.4351E+3
sp|Q86YL5|TDRP_HUMAN,Testis development-related protein OS=Homo sapiens OX=9606 GN=TDRP PE=1 SV=2,TDRP,2.4838E+5,1.3001E+5,2.0475E+5
sp|Q8WUY1|THEM6_HUMAN,Protein THEM6 OS=Homo sapiens OX=9606 GN=THEM6 PE=1 SV=2,THEM6,2.5538E+5,2.3908E+5,2.6387E+5
sp|Q92888|ARHG1_HUMAN,Rho guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=ARHGEF1 PE=1 SV=2,ARHGEF1,4.7029E+5,5.9252E+5,3.5225E+5
sp|Q96N67|DOCK7_HUMAN,Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4,DOCK7,2.1205E+4,3.9829E+4,3.3030E+4
sp|Q96PD5|PGRP2_HUMAN,N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1,PGLYRP2,2.6341E+6,2.5401E+6,2.4422E+6
sp|Q96PP9|GBP4_HUMAN,Guanylate-binding protein 4 OS=Homo sapiens OX=9606 GN=GBP4 PE=1 SV=2,GBP4,2.4616E+4,2.1412E+4,2.3165E+4
sp|Q96RF0|SNX18_HUMAN,Sorting nexin-18 OS=Homo sapiens OX=9606 GN=SNX18 PE=1 SV=2,SNX18,2.0977E+4,2.1424E+4,1.4830E+4
sp|Q9NSY0|NRBP2_HUMAN,Nuclear receptor-binding protein 2 OS=Homo sapiens OX=9606 GN=NRBP2 PE=1 SV=2,NRBP2,4.7121E+3,#N/A,#N/A
sp|Q9NXL6|SIDT1_HUMAN,SID1 transmembrane family member 1 OS=Homo sapiens OX=9606 GN=SIDT1 PE=1 SV=2,SIDT1,1.4297E+5,1.4779E+5,1.1389E+5
sp|Q9UIQ6|LCAP_HUMAN,Leucyl-cystinyl aminopeptidase OS=Homo sapiens OX=9606 GN=LNPEP PE=1 SV=3,LNPEP,3.6353E+5,3.5919E+5,3.4434E+5
sp|Q9UKG1|DP13A_HUMAN,DCC-interacting protein 13-alpha OS=Homo sapiens OX=9606 GN=APPL1 PE=1 SV=1,APPL1,4.3206E+5,4.6717E+5,4.4537E+5
sp|Q9Y6B6|SAR1B_HUMAN,Small COPII coat GTPase SAR1B OS=Homo sapiens OX=9606 GN=SAR1B PE=1 SV=1,SAR1B,2.2042E+4,1.6467E+4,2.0340E+4
sp|O00453|LST1_HUMAN,Leukocyte-specific transcript 1 protein OS=Homo sapiens OX=9606 GN=LST1 PE=1 SV=2,LST1,1.0280E+5,1.0598E+5,7.9832E+4
sp|O14727|APAF_HUMAN,Apoptotic protease-activating factor 1 OS=Homo sapiens OX=9606 GN=APAF1 PE=1 SV=2,APAF1,1.9599E+5,2.2682E+5,1.8792E+5
sp|O15371|EIF3D_HUMAN,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,EIF3D,2.3053E+5,2.4405E+5,2.2019E+5
sp|O75955|FLOT1_HUMAN,Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3,FLOT1,2.7500E+6,2.6309E+6,2.7153E+6
sp|P09211|GSTP1_HUMAN,Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2,GSTP1,3.8232E+6,3.6534E+6,3.6545E+6
sp|P09603|CSF1_HUMAN,Macrophage colony-stimulating factor 1 OS=Homo sapiens OX=9606 GN=CSF1 PE=1 SV=2,CSF1,1.4215E+6,1.4504E+6,1.3826E+6
sp|P29274|AA2AR_HUMAN,Adenosine receptor A2a OS=Homo sapiens OX=9606 GN=ADORA2A PE=1 SV=2,ADORA2A,1.5551E+4,#N/A,#N/A
sp|P30837|AL1B1_HUMAN,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=4",ALDH1B1,3.9886E+4,3.2993E+4,3.7825E+4
sp|P34932|HSP74_HUMAN,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,HSPA4,1.8326E+6,1.9185E+6,2.3008E+6
sp|P40855|PEX19_HUMAN,Peroxisomal biogenesis factor 19 OS=Homo sapiens OX=9606 GN=PEX19 PE=1 SV=1,PEX19,#N/A,1.0393E+5,2.5651E+4
sp|P43490|NAMPT_HUMAN,Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,NAMPT,5.8679E+4,3.8276E+4,7.1910E+4
sp|P53985|MOT1_HUMAN,Monocarboxylate transporter 1 OS=Homo sapiens OX=9606 GN=SLC16A1 PE=1 SV=3,SLC16A1,6.5681E+3,8.3163E+3,1.1207E+4
sp|Q15042|RB3GP_HUMAN,Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP1 PE=1 SV=3,RAB3GAP1,5.2982E+5,5.6444E+5,4.3050E+5
sp|Q15276|RABE1_HUMAN,Rab GTPase-binding effector protein 1 OS=Homo sapiens OX=9606 GN=RABEP1 PE=1 SV=2,RABEP1,1.5532E+5,1.7553E+5,1.3632E+5
sp|Q15813|TBCE_HUMAN,Tubulin-specific chaperone E OS=Homo sapiens OX=9606 GN=TBCE PE=1 SV=1,TBCE,1.1343E+5,1.0414E+5,1.0967E+5
sp|Q60I27|AL2CL_HUMAN,ALS2 C-terminal-like protein OS=Homo sapiens OX=9606 GN=ALS2CL PE=1 SV=1,ALS2CL,#N/A,2.8177E+3,2.7630E+3
sp|Q8N4C8|MINK1_HUMAN,Misshapen-like kinase 1 OS=Homo sapiens OX=9606 GN=MINK1 PE=1 SV=2,MINK1,3.9521E+5,2.9670E+5,3.0574E+5
sp|Q96LJ7|DHRS1_HUMAN,Dehydrogenase/reductase SDR family member 1 OS=Homo sapiens OX=9606 GN=DHRS1 PE=1 SV=1,DHRS1,3.7946E+4,6.4456E+4,6.1832E+4
sp|Q9BR76|COR1B_HUMAN,Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,CORO1B,2.5821E+6,2.5761E+6,2.6165E+6
sp|Q9H8M1|CQ10B_HUMAN,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial OS=Homo sapiens OX=9606 GN=COQ10B PE=1 SV=1",COQ10B,1.9436E+4,1.4232E+4,1.1515E+4
sp|Q9H9C1|SPE39_HUMAN,Spermatogenesis-defective protein 39 homolog OS=Homo sapiens OX=9606 GN=VIPAS39 PE=1 SV=1,VIPAS39,9.3973E+4,1.1008E+5,1.1605E+5
sp|Q9UHY1|NRBP_HUMAN,Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1,NRBP1,4.1176E+5,4.3047E+5,5.9528E+5
sp|Q9UNS2|CSN3_HUMAN,COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3,COPS3,6.5043E+4,5.2983E+4,4.4917E+4
sp|Q9Y4E6|WDR7_HUMAN,WD repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=WDR7 PE=1 SV=2,WDR7,1.7054E+4,3.1978E+4,2.6056E+4
sp|Q9Y6W3|CAN7_HUMAN,Calpain-7 OS=Homo sapiens OX=9606 GN=CAPN7 PE=1 SV=1,CAPN7,1.0483E+5,8.2514E+4,6.7713E+4
sp|O95182|NDUA7_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Homo sapiens OX=9606 GN=NDUFA7 PE=1 SV=3,NDUFA7,1.6844E+5,1.5440E+5,1.2636E+5
sp|P13224|GP1BB_HUMAN,Platelet glycoprotein Ib beta chain OS=Homo sapiens OX=9606 GN=GP1BB PE=1 SV=1,GP1BB,3.8010E+7,4.0425E+7,4.1068E+7
sp|P14618|KPYM_HUMAN,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,PKM,3.8896E+7,4.0617E+7,3.7384E+7
sp|P30419|NMT1_HUMAN,Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2,NMT1,5.3417E+4,6.0918E+4,5.7744E+4
sp|P46940|IQGA1_HUMAN,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,IQGAP1,7.3609E+4,7.8729E+4,7.7269E+4
sp|P49247|RPIA_HUMAN,Ribose-5-phosphate isomerase OS=Homo sapiens OX=9606 GN=RPIA PE=1 SV=3,RPIA,3.8955E+5,5.5727E+5,4.6943E+5
sp|P50225|ST1A1_HUMAN,Sulfotransferase 1A1 OS=Homo sapiens OX=9606 GN=SULT1A1 PE=1 SV=3,SULT1A1,3.7849E+6,4.0676E+6,3.8202E+6
sp|P50995|ANX11_HUMAN,Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1,ANXA11,1.6360E+6,1.7297E+6,1.6549E+6
sp|P60660|MYL6_HUMAN,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,MYL6,3.9575E+7,3.9820E+7,3.8647E+7
sp|Q08999|RBL2_HUMAN,Retinoblastoma-like protein 2 OS=Homo sapiens OX=9606 GN=RBL2 PE=1 SV=3,RBL2,2.4607E+4,2.8069E+4,2.9870E+4
sp|Q13129|RLF_HUMAN,Zinc finger protein Rlf OS=Homo sapiens OX=9606 GN=RLF PE=1 SV=2,RLF,8.5618E+3,1.1759E+4,1.0571E+4
sp|Q6UXV4|MIC27_HUMAN,MICOS complex subunit MIC27 OS=Homo sapiens OX=9606 GN=APOOL PE=1 SV=1,APOOL,4.6920E+5,4.8983E+5,5.7420E+5
sp|Q8N6M0|OTU6B_HUMAN,Deubiquitinase OTUD6B OS=Homo sapiens OX=9606 GN=OTUD6B PE=1 SV=1,OTUD6B,4.7371E+3,1.7130E+4,1.3589E+4
sp|Q8TB40|ABHD4_HUMAN,(Lyso)-N-acylphosphatidylethanolamine lipase OS=Homo sapiens OX=9606 GN=ABHD4 PE=1 SV=1,ABHD4,1.2196E+5,1.4782E+5,1.3658E+5
sp|Q8TF21|ANR24_HUMAN,Ankyrin repeat domain-containing protein 24 OS=Homo sapiens OX=9606 GN=ANKRD24 PE=1 SV=2,ANKRD24,2.5525E+4,1.9382E+4,#N/A
sp|Q92905|CSN5_HUMAN,COP9 signalosome complex subunit 5 OS=Homo sapiens OX=9606 GN=COPS5 PE=1 SV=4,COPS5,1.3768E+5,1.5488E+5,1.2096E+5
sp|Q96BW5|PTER_HUMAN,N-acetyltaurine hydrolase OS=Homo sapiens OX=9606 GN=PTER PE=1 SV=1,PTER,4.9547E+4,3.8145E+4,4.1848E+4
sp|Q99615|DNJC7_HUMAN,DnaJ homolog subfamily C member 7 OS=Homo sapiens OX=9606 GN=DNAJC7 PE=1 SV=2,DNAJC7,3.9898E+4,2.5392E+4,3.6765E+4
sp|Q9H2K0|IF3M_HUMAN,"Translation initiation factor IF-3, mitochondrial OS=Homo sapiens OX=9606 GN=MTIF3 PE=1 SV=4",MTIF3,1.2831E+4,6.7003E+3,1.1500E+4
sp|Q9NR46|SHLB2_HUMAN,Endophilin-B2 OS=Homo sapiens OX=9606 GN=SH3GLB2 PE=1 SV=1,SH3GLB2,4.4164E+5,3.7920E+5,4.4684E+5
sp|Q9UH90|FBX40_HUMAN,F-box only protein 40 OS=Homo sapiens OX=9606 GN=FBXO40 PE=1 SV=2,FBXO40,#N/A,4.8228E+3,5.2681E+3
sp|Q9UL25|RAB21_HUMAN,Ras-related protein Rab-21 OS=Homo sapiens OX=9606 GN=RAB21 PE=1 SV=3,RAB21,1.5746E+5,1.9527E+5,1.9823E+5
sp|O15305|PMM2_HUMAN,Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1,PMM2,1.0884E+5,1.2848E+5,1.3511E+5
sp|O43681|GET3_HUMAN,ATPase GET3 OS=Homo sapiens OX=9606 GN=GET3 PE=1 SV=2,GET3,1.1431E+6,1.1278E+6,1.0466E+6
sp|O75069|TMCC2_HUMAN,Transmembrane and coiled-coil domains protein 2 OS=Homo sapiens OX=9606 GN=TMCC2 PE=1 SV=3,TMCC2,5.5443E+4,4.8414E+4,6.9850E+4
sp|P09417|DHPR_HUMAN,Dihydropteridine reductase OS=Homo sapiens OX=9606 GN=QDPR PE=1 SV=2,QDPR,5.7614E+5,6.3694E+5,6.0717E+5
sp|P31949|S10AB_HUMAN,Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,S100A11,3.2492E+4,3.3126E+4,3.3578E+4
sp|P48509|CD151_HUMAN,CD151 antigen OS=Homo sapiens OX=9606 GN=CD151 PE=1 SV=3,CD151,9.6802E+5,9.2404E+5,9.8967E+5
sp|P50579|MAP2_HUMAN,Methionine aminopeptidase 2 OS=Homo sapiens OX=9606 GN=METAP2 PE=1 SV=1,METAP2,1.8310E+4,1.1943E+4,2.4361E+4
sp|P52630|STAT2_HUMAN,Signal transducer and activator of transcription 2 OS=Homo sapiens OX=9606 GN=STAT2 PE=1 SV=1,STAT2,5.3614E+4,6.5918E+4,3.4096E+4
sp|P60484|PTEN_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN OS=Homo sapiens OX=9606 GN=PTEN PE=1 SV=1",PTEN,8.5300E+3,4.9061E+3,5.4075E+3
sp|Q13526|PIN1_HUMAN,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens OX=9606 GN=PIN1 PE=1 SV=1,PIN1,3.0262E+5,2.6671E+5,2.4809E+5
sp|Q14289|FAK2_HUMAN,Protein-tyrosine kinase 2-beta OS=Homo sapiens OX=9606 GN=PTK2B PE=1 SV=2,PTK2B,3.1363E+5,3.1409E+5,3.0014E+5
sp|Q15283|RASA2_HUMAN,Ras GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=RASA2 PE=1 SV=3,RASA2,3.6604E+3,7.4689E+3,4.5123E+3
sp|Q16760|DGKD_HUMAN,Diacylglycerol kinase delta OS=Homo sapiens OX=9606 GN=DGKD PE=1 SV=4,DGKD,2.4437E+3,3.1477E+3,3.5264E+3
sp|Q5JXB2|UE2NL_HUMAN / sp|P61088|UBE2N_HUMAN,"Putative ubiquitin-conjugating enzyme E2 N-like OS=Homo sapiens OX=9606 GN=UBE2NL PE=1 SV=1
Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1",UBE2NL / UBE2N,3.3890E+5,3.3713E+5,3.3632E+5
sp|Q86WR7|PRSR2_HUMAN,Proline and serine-rich protein 2 OS=Homo sapiens OX=9606 GN=PROSER2 PE=1 SV=2,PROSER2,7.3010E+5,7.0233E+5,7.6864E+5
sp|Q8N5M9|JAGN1_HUMAN,Protein jagunal homolog 1 OS=Homo sapiens OX=9606 GN=JAGN1 PE=1 SV=1,JAGN1,3.8614E+4,3.4984E+4,3.3237E+4
sp|Q8N6R0|EFNMT_HUMAN,eEF1A lysine and N-terminal methyltransferase OS=Homo sapiens OX=9606 GN=METTL13 PE=1 SV=1,METTL13,4.0011E+3,5.5539E+3,5.9615E+3
sp|Q9H5N1|RABE2_HUMAN,Rab GTPase-binding effector protein 2 OS=Homo sapiens OX=9606 GN=RABEP2 PE=1 SV=2,RABEP2,1.6233E+5,1.7622E+5,1.8987E+5
sp|Q9UII2|ATIF1_HUMAN,"ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1",ATP5IF1,1.1379E+5,1.1778E+5,1.1746E+5
sp|A0A075B6S6|KVD30_HUMAN,Immunoglobulin kappa variable 2D-30 OS=Homo sapiens OX=9606 GN=IGKV2D-30 PE=1 SV=1,IGKV2D-30,6.9531E+6,6.8297E+6,6.9040E+6
sp|O15117|FYB1_HUMAN,FYN-binding protein 1 OS=Homo sapiens OX=9606 GN=FYB1 PE=1 SV=2,FYB1,6.9205E+6,6.5211E+6,7.0732E+6
sp|O75113|N4BP1_HUMAN,NEDD4-binding protein 1 OS=Homo sapiens OX=9606 GN=N4BP1 PE=1 SV=4,N4BP1,4.6150E+3,1.7827E+3,2.6911E+3
sp|O95210|STBD1_HUMAN,Starch-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=STBD1 PE=1 SV=1,STBD1,1.6911E+4,1.8954E+4,1.2160E+4
sp|P08574|CY1_HUMAN,"Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3",CYC1,7.9678E+5,7.6613E+5,7.1483E+5
sp|P08754|GNAI3_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3,GNAI3,2.9635E+5,2.6809E+5,2.7200E+5
sp|P11177|ODPB_HUMAN,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3",PDHB,7.5221E+5,8.0091E+5,8.2873E+5
sp|P46821|MAP1B_HUMAN,Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,MAP1B,1.7818E+4,2.7213E+4,1.3398E+4
sp|P50151|GBG10_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10 OS=Homo sapiens OX=9606 GN=GNG10 PE=1 SV=1,GNG10,1.0152E+4,#N/A,6.7777E+3
sp|P51888|PRELP_HUMAN,Prolargin OS=Homo sapiens OX=9606 GN=PRELP PE=1 SV=1,PRELP,1.1066E+4,1.4750E+4,1.0373E+4
