Protein,Protein Description,Protein Gene,Actis_MixA_01 Sum Normalized Area,Actis_MixA_02 Sum Normalized Area,Actis_MixA_03 Sum Normalized Area,Actis_MixB_01 Sum Normalized Area,Actis_MixB_02 Sum Normalized Area,Actis_MixB_03 Sum Normalized Area,Actis_MixC_01 Sum Normalized Area,Actis_MixC_02 Sum Normalized Area,Actis_MixC_03 Sum Normalized Area,Actis_MixD_01 Sum Normalized Area,Actis_MixD_02 Sum Normalized Area,Actis_MixD_03 Sum Normalized Area,Actis_MixE_01 Sum Normalized Area,Actis_MixE_02 Sum Normalized Area,Actis_MixE_03 Sum Normalized Area,Actis_MixF_01 Sum Normalized Area,Actis_MixF_02 Sum Normalized Area,Actis_MixF_03 Sum Normalized Area,Actis_MixG_01 Sum Normalized Area,Actis_MixG_02 Sum Normalized Area,Actis_MixG_03 Sum Normalized Area,Actis_MixH_01 Sum Normalized Area,Actis_MixH_02 Sum Normalized Area,Actis_MixH_03 Sum Normalized Area,Actis_MixI_01 Sum Normalized Area,Actis_MixI_02 Sum Normalized Area,Actis_MixI_03 Sum Normalized Area,Actis_MixJ_01 Sum Normalized Area,Actis_MixJ_02 Sum Normalized Area,Actis_MixJ_03 Sum Normalized Area,Actis_MixK_01 Sum Normalized Area,Actis_MixK_02 Sum Normalized Area,Actis_MixK_03 Sum Normalized Area,Actis_MixL_01 Sum Normalized Area,Actis_MixL_02 Sum Normalized Area,Actis_MixL_03 Sum Normalized Area,Actis_MixM_01 Sum Normalized Area,Actis_MixM_02 Sum Normalized Area,Actis_MixM_03 Sum Normalized Area,Actis_MixN_01 Sum Normalized Area,Actis_MixN_02 Sum Normalized Area,Actis_MixN_03 Sum Normalized Area
sp|Q15758|AAAT_HUMAN,Neutral amino acid transporter B(0) OS=Homo sapiens OX=9606 GN=SLC1A5 PE=1 SV=2,SLC1A5,3.3097E+4,1.5331E+4,2.4263E+4,1.6592E+4,9.9610E+3,2.6528E+3,1.5745E+4,4.3251E+3,1.4099E+4,1.3179E+4,9.0327E+3,8.5021E+2,#N/A,3.8930E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q3B8N2|LEG9B_HUMAN / sp|Q6DKI2|LEG9C_HUMAN,"Galectin-9B OS=Homo sapiens OX=9606 GN=LGALS9B PE=1 SV=3
Galectin-9C OS=Homo sapiens OX=9606 GN=LGALS9C PE=1 SV=2",LGALS9B / LGALS9C,1.2372E+4,1.8428E+4,1.0364E+4,1.4686E+4,8.4318E+3,2.0409E+4,5.2243E+3,1.3684E+3,7.2129E+3,1.7523E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q5TEC6|H37_HUMAN,Histone H3-7 OS=Homo sapiens OX=9606 GN=H3-7 PE=1 SV=1,H3-7,3.9850E+4,3.1477E+4,#N/A,3.4951E+4,#N/A,2.3931E+4,3.9771E+4,#N/A,3.5077E+4,#N/A,3.1567E+4,2.8641E+4,4.2123E+4,2.5950E+4,2.8555E+4,3.0944E+4,2.5817E+4,2.5736E+4,2.8325E+4,2.3740E+4,2.9790E+4,3.0899E+4,2.7179E+4,2.1054E+4,3.1667E+4,2.9787E+4,2.8411E+4,3.0643E+4,2.4621E+4,3.1365E+4,3.7863E+4,2.1214E+4,2.4717E+4,4.4020E+4,2.6807E+4,2.5101E+4,3.7939E+4,#N/A,#N/A,#N/A,2.3618E+4,2.6178E+4
sp|Q5TGZ0|MIC10_HUMAN,MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1,MICOS10,1.4404E+5,1.1185E+5,1.2379E+5,9.2702E+4,8.0968E+4,6.5120E+4,6.0848E+4,5.5791E+4,5.3056E+4,3.9191E+4,2.5410E+4,2.8455E+4,8.0423E+3,6.9372E+3,1.2661E+4,1.3190E+4,8.8020E+3,7.2652E+3,#N/A,#N/A,4.8660E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q86X10|RLGPB_HUMAN,Ral GTPase-activating protein subunit beta OS=Homo sapiens OX=9606 GN=RALGAPB PE=1 SV=1,RALGAPB,6.1212E+4,4.7932E+4,6.3203E+4,4.8645E+4,3.9363E+4,3.4762E+4,1.5709E+4,2.1000E+4,1.3462E+4,#N/A,3.5726E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q86Y46|K2C73_HUMAN / sp|Q3SY84|K2C71_HUMAN / sp|Q14CN4|K2C72_HUMAN / sp|Q7RTS7|K2C74_HUMAN,"Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1
Keratin, type II cytoskeletal 71 OS=Homo sapiens OX=9606 GN=KRT71 PE=1 SV=3
Keratin, type II cytoskeletal 72 OS=Homo sapiens OX=9606 GN=KRT72 PE=1 SV=2
Keratin, type II cytoskeletal 74 OS=Homo sapiens OX=9606 GN=KRT74 PE=1 SV=2",KRT73 / KRT71 / KRT72 / KRT74,1.0591E+4,1.0324E+4,7.2988E+3,8.0412E+3,1.2207E+4,3.1235E+3,5.2805E+3,4.7148E+3,1.8096E+4,6.4449E+3,9.4794E+3,1.2187E+4,1.6711E+4,2.0041E+4,4.2140E+3,5.7322E+3,#N/A,6.0869E+3,#N/A,5.2166E+3,2.6189E+4,4.4295E+3,2.5824E+3,2.5461E+4,2.2226E+4,1.8499E+4,3.9202E+3,#N/A,3.9279E+3,4.5070E+3,4.8815E+3,3.1105E+4,4.1257E+3,5.7142E+3,#N/A,1.6023E+4,#N/A,4.9582E+3,3.2295E+3,#N/A,#N/A,#N/A
sp|Q8TEB1|DCA11_HUMAN,DDB1- and CUL4-associated factor 11 OS=Homo sapiens OX=9606 GN=DCAF11 PE=1 SV=1,DCAF11,9.4564E+4,1.1957E+5,1.2142E+5,9.3873E+4,4.9602E+4,7.7243E+4,4.8464E+4,6.0577E+4,4.7924E+4,3.2795E+4,3.2532E+4,4.5143E+4,#N/A,5.3410E+3,5.6976E+2,#N/A,#N/A,1.7211E+3,2.0858E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q969M1|TM40L_HUMAN,Mitochondrial import receptor subunit TOM40B OS=Homo sapiens OX=9606 GN=TOMM40L PE=1 SV=1,TOMM40L,4.1585E+4,2.8283E+4,3.2638E+4,3.5998E+4,1.1441E+4,5.0723E+4,4.4957E+4,3.3035E+4,4.6924E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.2130E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96EY8|MMAB_HUMAN,Corrinoid adenosyltransferase MMAB OS=Homo sapiens OX=9606 GN=MMAB PE=1 SV=1,MMAB,5.7360E+4,4.9443E+4,5.1685E+4,4.5078E+4,4.1468E+4,3.1884E+4,2.5619E+4,2.3691E+4,1.9431E+4,1.6267E+4,1.1815E+4,1.1329E+4,5.2704E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.6814E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H0X4|F234A_HUMAN,Protein FAM234A OS=Homo sapiens OX=9606 GN=FAM234A PE=1 SV=1,FAM234A,5.6496E+5,4.9295E+5,4.9047E+5,4.2474E+5,3.3693E+5,3.5186E+5,3.5715E+5,2.5471E+5,2.6680E+5,1.8365E+5,1.8501E+5,1.7153E+5,5.5406E+4,4.3080E+4,5.2430E+4,2.6361E+4,1.0720E+4,2.4208E+4,1.4844E+4,8.9636E+3,#N/A,8.8440E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H115|SNAB_HUMAN,Beta-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPB PE=1 SV=2,NAPB,7.1092E+4,5.3951E+4,4.2940E+4,5.0234E+4,3.9290E+4,3.4764E+4,2.8820E+4,2.5860E+4,2.9577E+4,2.4305E+4,1.6671E+4,1.4047E+4,3.9015E+3,4.0090E+3,3.6686E+3,3.6272E+3,1.0945E+3,1.5788E+3,3.5813E+3,2.1691E+3,#N/A,1.3195E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H8J5|MANS1_HUMAN,MANSC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MANSC1 PE=1 SV=1,MANSC1,4.3637E+5,3.8675E+5,3.6453E+5,3.5074E+5,3.2686E+5,2.6457E+5,2.2341E+5,1.7232E+5,2.1318E+5,1.3551E+5,1.1582E+5,1.1993E+5,3.3026E+4,3.1787E+4,3.4615E+4,3.3251E+4,2.4904E+4,2.6708E+4,2.7836E+4,2.7055E+4,4.7350E+3,#N/A,6.6234E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9P2E3|ZNFX1_HUMAN,NFX1-type zinc finger-containing protein 1 OS=Homo sapiens OX=9606 GN=ZNFX1 PE=1 SV=2,ZNFX1,4.1803E+4,1.8181E+4,2.7349E+4,1.1521E+4,1.8718E+4,1.8843E+4,1.0820E+4,6.1858E+3,#N/A,3.2825E+3,3.0248E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UL26|RB22A_HUMAN,Ras-related protein Rab-22A OS=Homo sapiens OX=9606 GN=RAB22A PE=1 SV=2,RAB22A,5.4296E+4,4.7974E+4,5.5050E+4,2.3174E+4,3.1785E+4,1.1110E+4,2.0283E+4,2.4893E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y394|DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens OX=9606 GN=DHRS7 PE=1 SV=1,DHRS7,1.2467E+6,1.1400E+6,1.1480E+6,9.4838E+5,8.1364E+5,7.7242E+5,6.8219E+5,6.0245E+5,5.7321E+5,3.9458E+5,3.4186E+5,3.5578E+5,1.4261E+5,1.3129E+5,1.2455E+5,9.7585E+4,9.6250E+4,8.6184E+4,6.6823E+4,5.7432E+4,4.7570E+4,2.6277E+4,4.5604E+4,1.1861E+4,#N/A,#N/A,#N/A,#N/A,#N/A,5.1565E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
tr|A0A590UJ96|A0A590UJ96_HUMAN,Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC122526780 PE=1 SV=1,LOC122526780,#N/A,3.1469E+4,2.2975E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|A5PLN9|TPC13_HUMAN,Trafficking protein particle complex subunit 13 OS=Homo sapiens OX=9606 GN=TRAPPC13 PE=1 SV=2,TRAPPC13,4.7901E+4,4.1944E+4,3.7983E+4,3.7249E+4,2.8359E+4,2.4750E+4,2.3966E+4,2.9370E+4,2.6115E+4,7.5747E+3,7.0570E+3,1.4529E+4,9.7848E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O43237|DC1L2_HUMAN,Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1,DYNC1LI2,1.9209E+5,1.2654E+5,1.3343E+5,9.2857E+4,1.1783E+5,7.6431E+4,9.5457E+4,8.7140E+4,7.3000E+4,7.0703E+4,4.7149E+4,4.7128E+4,#N/A,2.9299E+3,3.8305E+3,#N/A,5.9520E+3,#N/A,#N/A,3.2008E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O43752|STX6_HUMAN,Syntaxin-6 OS=Homo sapiens OX=9606 GN=STX6 PE=1 SV=1,STX6,2.4057E+4,1.7460E+4,2.2741E+4,1.5639E+4,2.0375E+4,2.4998E+4,2.7337E+4,1.1337E+4,7.1701E+3,5.1954E+3,#N/A,7.8525E+3,#N/A,#N/A,8.2448E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P02679|FIBG_HUMAN,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3,FGG,3.1170E+9,2.6829E+9,2.6912E+9,2.4779E+9,2.1133E+9,2.0508E+9,1.9162E+9,1.6187E+9,1.5449E+9,1.2330E+9,1.0917E+9,1.0212E+9,4.7905E+8,3.8185E+8,3.6251E+8,3.4535E+8,2.8588E+8,2.6495E+8,2.3882E+8,2.0833E+8,1.9687E+8,1.4267E+8,1.2463E+8,1.1668E+8,5.4354E+7,4.2098E+7,3.5254E+7,3.5498E+7,3.0052E+7,2.9517E+7,2.7026E+7,2.2596E+7,2.0887E+7,1.8376E+7,1.3750E+7,1.2381E+7,6.2090E+6,4.6374E+6,4.3013E+6,3.4951E+5,3.4789E+5,3.1264E+5
sp|P05160|F13B_HUMAN,Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3,F13B,1.4736E+6,1.2851E+6,1.3522E+6,1.3358E+6,9.6096E+5,9.6376E+5,9.1901E+5,6.1564E+5,7.3370E+5,4.1047E+5,3.7839E+5,3.7802E+5,1.6851E+5,1.2841E+5,1.0088E+5,7.1929E+4,5.9893E+4,7.2060E+4,5.6084E+4,5.2695E+4,4.6086E+4,9.9508E+3,1.0147E+3,5.2152E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P08833|IBP1_HUMAN,Insulin-like growth factor-binding protein 1 OS=Homo sapiens OX=9606 GN=IGFBP1 PE=1 SV=1,IGFBP1,7.3742E+5,5.8546E+5,5.8034E+5,5.3177E+5,4.3091E+5,4.5326E+5,3.9835E+5,3.0343E+5,2.9690E+5,3.0637E+5,1.8621E+5,2.1815E+5,1.2984E+5,2.3934E+4,6.1334E+4,7.0466E+4,1.1633E+4,1.9304E+4,9.4244E+3,1.1347E+4,4.3548E+4,1.5708E+4,#N/A,1.0666E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P30085|KCY_HUMAN,UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3,CMPK1,1.0832E+6,9.6049E+5,9.0976E+5,8.4733E+5,7.0679E+5,6.3501E+5,6.0161E+5,5.1081E+5,5.0026E+5,3.4906E+5,2.9298E+5,2.8856E+5,1.1148E+5,1.0239E+5,7.5387E+4,6.9960E+4,9.3814E+4,5.6291E+4,4.6999E+4,4.1715E+4,2.8343E+4,1.2434E+4,2.5887E+4,3.3034E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P34096|RNAS4_HUMAN,Ribonuclease 4 OS=Homo sapiens OX=9606 GN=RNASE4 PE=1 SV=3,RNASE4,1.3320E+5,1.1033E+5,1.1859E+5,8.0077E+4,7.6180E+4,8.0021E+4,4.0131E+4,5.6281E+4,6.3091E+4,#N/A,5.4145E+4,1.8406E+4,3.0272E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
