Protein,Protein Description,Protein Gene,Actis_2025_0407_151_200ng_2mzIso_4msIT_200agc_HeLa_01 Sum Normalized Area,Actis_2025_0407_154_200ng_2mzIso_4msIT_200agc_HeLa_02 Sum Normalized Area,Actis_2025_0407_155_200ng_2mzIso_4msIT_200agc_HeLa_03 Sum Normalized Area,Actis_2025_0407_150_200ng_3mzIso_6msIT_200agc_HeLa_01 Sum Normalized Area,Actis_2025_0407_152_200ng_3mzIso_6msIT_200agc_HeLa_02 Sum Normalized Area,Actis_2025_0407_157_200ng_3mzIso_6msIT_200agc_HeLa_03 Sum Normalized Area,Actis_2025_0407_149_200ng_4mzIso_8msIT_200agc_HeLa_01 Sum Normalized Area,Actis_2025_0407_153_200ng_4mzIso_8msIT_200agc_HeLa_02 Sum Normalized Area,Actis_2025_0407_156_200ng_4mzIso_8msIT_200agc_HeLa_03 Sum Normalized Area,Astral_2025_0407_151_200ng_2mzIso_4msIT_200agc_HeLa_01 Sum Normalized Area,Astral_2025_0407_154_200ng_2mzIso_4msIT_200agc_HeLa_02 Sum Normalized Area,Astral_2025_0407_155_200ng_2mzIso_4msIT_200agc_HeLa_03 Sum Normalized Area,Astral_2025_0407_150_200ng_3mzIso_6msIT_200agc_HeLa_01 Sum Normalized Area,Astral_2025_0407_152_200ng_3mzIso_6msIT_200agc_HeLa_02 Sum Normalized Area,Astral_2025_0407_157_200ng_3mzIso_6msIT_200agc_HeLa_03 Sum Normalized Area,Astral_2025_0407_149_200ng_4mzIso_8msIT_200agc_HeLa_01 Sum Normalized Area,Astral_2025_0407_153_200ng_4mzIso_8msIT_200agc_HeLa_02 Sum Normalized Area,Astral_2025_0407_156_200ng_4mzIso_8msIT_200agc_HeLa_03 Sum Normalized Area
sp|P01100|FOS_HUMAN,Protein c-Fos OS=Homo sapiens OX=9606 GN=FOS PE=1 SV=1,FOS,#N/A,1.2406E+4,1.4643E+4,5.5243E+4,4.7831E+4,3.2132E+4,#N/A,2.8248E+4,8.5744E+3,1.6235E+4,2.8904E+4,4.0160E+4,4.7140E+4,7.8182E+3,1.3879E+4,#N/A,#N/A,#N/A
sp|P02748|CO9_HUMAN,Complement component C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=2,C9,#N/A,#N/A,6.0231E+3,7.6199E+3,8.1804E+3,6.2134E+3,2.4896E+4,3.8893E+4,2.8346E+4,1.0592E+4,#N/A,#N/A,8.4191E+3,7.0596E+3,3.9312E+3,#N/A,1.1973E+5,1.5982E+4
sp|P17031|ZNF26_HUMAN,Zinc finger protein 26 OS=Homo sapiens OX=9606 GN=ZNF26 PE=1 SV=3,ZNF26,6.4414E+3,7.2878E+3,7.1938E+3,1.0813E+4,7.0720E+3,6.1607E+2,9.2264E+3,6.9256E+3,#N/A,1.0737E+4,#N/A,1.0085E+4,#N/A,5.1722E+3,1.4343E+4,#N/A,8.0529E+3,1.2318E+4
sp|P21281|VATB2_HUMAN,"V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3",ATP6V1B2,5.8118E+6,5.9176E+6,6.1711E+6,5.3434E+6,5.1611E+6,5.2728E+6,4.9857E+6,4.6963E+6,4.6736E+6,5.8829E+6,5.8884E+6,6.1119E+6,5.3525E+6,5.5798E+6,5.5318E+6,4.9535E+6,4.9131E+6,5.1113E+6
sp|P23919|KTHY_HUMAN,Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4,DTYMK,3.4900E+6,3.4063E+6,3.4646E+6,2.9710E+6,2.8770E+6,2.8756E+6,2.9008E+6,2.8572E+6,2.9196E+6,3.2046E+6,3.3400E+6,3.4643E+6,3.0684E+6,3.3303E+6,3.1902E+6,2.9132E+6,3.2086E+6,3.0808E+6
sp|P36551|HEM6_HUMAN,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3",CPOX,1.5790E+6,1.5695E+6,1.6344E+6,1.6674E+6,1.7271E+6,1.6580E+6,1.5485E+6,1.5294E+6,1.4773E+6,1.5087E+6,1.5627E+6,1.6765E+6,1.6300E+6,1.7553E+6,1.9041E+6,1.4278E+6,1.5409E+6,1.5076E+6
sp|P43268|ETV4_HUMAN,ETS translocation variant 4 OS=Homo sapiens OX=9606 GN=ETV4 PE=1 SV=3,ETV4,1.3517E+4,3.0375E+4,3.6065E+3,9.0380E+3,2.5628E+4,3.1652E+4,7.6776E+3,3.4517E+4,#N/A,3.0042E+4,6.4001E+3,#N/A,1.7282E+4,3.4498E+4,2.3645E+4,7.1954E+4,#N/A,2.1292E+4
sp|P54259|ATN1_HUMAN,Atrophin-1 OS=Homo sapiens OX=9606 GN=ATN1 PE=1 SV=3,ATN1,4.1397E+5,3.5431E+5,4.3607E+5,3.6737E+5,3.5417E+5,3.5653E+5,3.6085E+5,3.3397E+5,3.3457E+5,3.6613E+5,3.6175E+5,3.2078E+5,1.6705E+5,2.7962E+5,3.0908E+5,2.9488E+5,2.7773E+5,2.9476E+5
sp|P54277|PMS1_HUMAN,PMS1 protein homolog 1 OS=Homo sapiens OX=9606 GN=PMS1 PE=1 SV=1,PMS1,8.4486E+4,9.7899E+4,1.0671E+5,1.2330E+5,1.6138E+5,5.5433E+4,1.1950E+5,1.0811E+5,1.0939E+5,6.5083E+4,1.0189E+5,1.0803E+5,1.2158E+5,5.8093E+4,1.3653E+5,1.0205E+5,1.1696E+5,8.6811E+4
sp|P59190|RAB15_HUMAN,Ras-related protein Rab-15 OS=Homo sapiens OX=9606 GN=RAB15 PE=1 SV=1,RAB15,1.0287E+7,4.6566E+6,1.0313E+7,5.7239E+6,1.0477E+7,1.0853E+7,8.2704E+6,3.5009E+6,8.8707E+6,5.2900E+6,8.5774E+6,1.0002E+7,9.8658E+6,1.0451E+7,1.0101E+7,7.4514E+6,9.4672E+6,7.6347E+6
sp|P81274|GPSM2_HUMAN,G-protein-signaling modulator 2 OS=Homo sapiens OX=9606 GN=GPSM2 PE=1 SV=3,GPSM2,1.9078E+5,1.7634E+5,3.3100E+5,3.1120E+5,3.6427E+5,4.3408E+5,2.5071E+5,2.2403E+5,1.9137E+5,1.5207E+5,2.5353E+5,2.0531E+5,2.7575E+5,2.4373E+5,1.9219E+5,1.6536E+5,1.4720E+5,1.9354E+5
sp|Q01151|CD83_HUMAN,CD83 antigen OS=Homo sapiens OX=9606 GN=CD83 PE=1 SV=1,CD83,5.3425E+4,7.9320E+4,6.3981E+4,3.7254E+4,7.4413E+4,4.7570E+4,5.4619E+4,2.0830E+4,8.3529E+4,5.7789E+4,4.6247E+4,1.0214E+5,8.4852E+4,5.2645E+4,6.5389E+4,2.5137E+4,3.9025E+4,2.8845E+4
sp|Q07912|ACK1_HUMAN,Activated CDC42 kinase 1 OS=Homo sapiens OX=9606 GN=TNK2 PE=1 SV=3,TNK2,2.4024E+5,2.3161E+5,2.3956E+5,2.7387E+5,2.8787E+5,2.4247E+5,8.3230E+5,9.3675E+5,6.9469E+5,2.1750E+5,2.0861E+5,1.9952E+5,2.0937E+5,1.9836E+5,2.1115E+5,6.6023E+5,7.4152E+5,8.3382E+5
sp|Q07954|LRP1_HUMAN,Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens OX=9606 GN=LRP1 PE=1 SV=2,LRP1,4.6998E+5,6.8362E+5,5.2218E+5,5.6690E+5,5.9529E+5,6.8698E+5,7.3887E+5,5.5360E+5,6.0635E+5,4.8058E+5,5.4956E+5,5.8811E+5,5.8750E+5,5.2794E+5,5.8743E+5,4.1527E+5,4.9556E+5,5.2423E+5
sp|Q13114|TRAF3_HUMAN,TNF receptor-associated factor 3 OS=Homo sapiens OX=9606 GN=TRAF3 PE=1 SV=2,TRAF3,1.2695E+5,1.3618E+5,1.0311E+5,1.6522E+5,1.1636E+5,1.7252E+5,1.5004E+5,1.3614E+5,1.3476E+5,7.6775E+4,1.0123E+5,1.1221E+5,1.3339E+5,1.4107E+5,1.5581E+5,7.0925E+4,1.4038E+5,1.7120E+5
sp|Q15544|TAF11_HUMAN,Transcription initiation factor TFIID subunit 11 OS=Homo sapiens OX=9606 GN=TAF11 PE=1 SV=1,TAF11,1.0689E+4,2.8486E+4,3.6380E+4,7.4109E+3,5.4939E+4,1.1957E+4,2.8989E+4,2.6325E+4,2.0053E+4,2.3242E+4,#N/A,2.3436E+4,1.3259E+4,1.7429E+4,2.2148E+4,1.2750E+4,3.4341E+4,1.8067E+4
sp|Q15813|TBCE_HUMAN,Tubulin-specific chaperone E OS=Homo sapiens OX=9606 GN=TBCE PE=1 SV=1,TBCE,1.3612E+6,1.3331E+6,1.3970E+6,1.2650E+6,1.3641E+6,1.4121E+6,1.3431E+6,1.2550E+6,1.3058E+6,1.2851E+6,1.2222E+6,1.2767E+6,1.2251E+6,1.3739E+6,1.2580E+6,1.1311E+6,1.2466E+6,1.1921E+6
sp|Q5I0X7|TTC32_HUMAN,Tetratricopeptide repeat protein 32 OS=Homo sapiens OX=9606 GN=TTC32 PE=1 SV=1,TTC32,1.2325E+4,1.1083E+4,1.3463E+4,1.1530E+4,1.2527E+4,5.7010E+4,1.5577E+4,1.2914E+4,1.5902E+4,3.0461E+4,6.2552E+3,1.2558E+4,#N/A,1.7645E+4,1.7517E+4,1.4485E+4,2.4575E+4,1.0934E+4
sp|Q5JPI9|EFMT2_HUMAN,EEF1A lysine methyltransferase 2 OS=Homo sapiens OX=9606 GN=EEF1AKMT2 PE=1 SV=2,EEF1AKMT2,5.4001E+4,4.7616E+4,4.4037E+4,5.8891E+4,4.9804E+4,6.6450E+4,6.6193E+4,5.7875E+4,7.3088E+4,5.0726E+4,5.4706E+4,5.1263E+4,6.1594E+4,6.9824E+4,6.9546E+4,4.5133E+4,6.8560E+4,6.1933E+4
sp|Q68CL5|TPGS2_HUMAN,Tubulin polyglutamylase complex subunit 2 OS=Homo sapiens OX=9606 GN=TPGS2 PE=1 SV=2,TPGS2,1.2358E+4,1.1350E+5,1.0987E+5,3.4150E+4,3.2770E+4,3.9136E+4,6.8988E+4,9.4157E+4,9.6475E+4,1.0585E+5,1.0795E+4,9.8922E+4,3.1512E+4,2.9149E+4,3.8323E+4,1.1055E+4,1.0815E+5,1.0732E+4
sp|Q6DN03|H2B2C_HUMAN / sp|Q6DRA6|H2B2D_HUMAN,"Putative histone H2B type 2-C OS=Homo sapiens OX=9606 GN=H2BC20P PE=5 SV=3
Putative histone H2B type 2-D OS=Homo sapiens OX=9606 GN=H2BC19P PE=5 SV=3",H2BC20P / H2BC19P,1.8544E+7,2.2012E+7,2.3942E+7,2.4075E+7,1.8972E+7,1.9971E+7,1.8803E+7,1.8121E+7,1.8546E+7,1.8667E+7,2.3349E+7,2.9736E+7,1.8736E+7,2.4330E+7,1.7759E+7,1.4827E+7,1.5003E+7,1.3996E+7
sp|Q8IXQ3|CI040_HUMAN,Uncharacterized protein C9orf40 OS=Homo sapiens OX=9606 GN=C9orf40 PE=1 SV=1,C9orf40,3.5021E+5,3.7111E+5,3.6982E+5,2.9378E+5,3.1610E+5,3.1816E+5,3.4260E+5,2.2874E+5,2.9978E+5,2.9511E+5,2.8426E+5,3.0748E+5,3.0504E+5,2.4380E+5,3.0720E+5,2.9720E+5,2.0397E+5,2.1387E+5
sp|Q8IZ73|RUSD2_HUMAN,Pseudouridylate synthase RPUSD2 OS=Homo sapiens OX=9606 GN=RPUSD2 PE=1 SV=2,RPUSD2,1.3377E+6,1.2610E+6,1.2561E+6,1.2220E+6,1.1521E+6,1.1698E+6,1.2095E+6,1.1326E+6,1.1834E+6,1.1636E+6,1.3390E+6,1.2681E+6,1.1140E+6,1.2763E+6,1.1515E+6,1.1737E+6,1.3160E+6,1.1708E+6
sp|Q8N3R3|TCAIM_HUMAN,"T-cell activation inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=TCAIM PE=2 SV=2",TCAIM,1.1831E+5,6.4367E+4,5.3564E+4,5.2548E+4,3.8024E+4,7.0006E+4,7.4395E+4,1.0224E+5,1.0291E+5,5.6468E+4,1.9696E+4,9.9178E+4,1.1699E+5,3.1060E+4,8.2673E+4,4.7052E+4,2.1190E+4,1.7042E+4
sp|Q8N9F7|GDPD1_HUMAN,Lysophospholipase D GDPD1 OS=Homo sapiens OX=9606 GN=GDPD1 PE=1 SV=2,GDPD1,3.0090E+4,5.1658E+4,3.8319E+4,7.7189E+4,8.8919E+4,1.0245E+5,5.5393E+4,6.9646E+4,8.0016E+4,1.0857E+5,1.1637E+4,9.1593E+4,5.7714E+4,8.6583E+4,1.3271E+5,1.5965E+5,7.0933E+4,7.4525E+4
sp|Q8NEF9|SRFB1_HUMAN,Serum response factor-binding protein 1 OS=Homo sapiens OX=9606 GN=SRFBP1 PE=1 SV=1,SRFBP1,1.2358E+6,1.0475E+6,1.0893E+6,1.1457E+6,1.0554E+6,1.0997E+6,1.0482E+6,9.0901E+5,9.6085E+5,1.0654E+6,1.0990E+6,1.0824E+6,1.0755E+6,1.1987E+6,1.0901E+6,9.2251E+5,1.0740E+6,9.5643E+5
sp|Q8NHQ8|RASF8_HUMAN,Ras association domain-containing protein 8 OS=Homo sapiens OX=9606 GN=RASSF8 PE=1 SV=2,RASSF8,1.3511E+5,1.0274E+5,9.3630E+4,1.1939E+5,1.1263E+5,1.3139E+5,1.2272E+5,1.0671E+5,1.3322E+5,9.1206E+4,8.3708E+4,8.1854E+4,7.7306E+4,7.6903E+4,8.9258E+4,1.1148E+5,6.5372E+4,5.1668E+4
sp|Q8TDJ6|DMXL2_HUMAN,DmX-like protein 2 OS=Homo sapiens OX=9606 GN=DMXL2 PE=1 SV=2,DMXL2,6.1475E+5,5.7647E+5,6.6992E+5,6.5445E+5,5.9752E+5,6.5042E+5,5.3780E+5,6.0539E+5,5.7346E+5,5.5302E+5,4.7171E+5,6.0827E+5,5.9585E+5,4.9934E+5,7.1135E+5,5.7123E+5,4.7839E+5,5.7063E+5
sp|Q8WUY1|THEM6_HUMAN,Protein THEM6 OS=Homo sapiens OX=9606 GN=THEM6 PE=1 SV=2,THEM6,2.1407E+6,2.1052E+6,2.0126E+6,1.6842E+6,1.6136E+6,1.6663E+6,1.7722E+6,1.7704E+6,1.7081E+6,2.0168E+6,1.9332E+6,2.1184E+6,1.5756E+6,1.6451E+6,1.7064E+6,1.7007E+6,1.7049E+6,1.7139E+6
sp|Q92484|ASM3A_HUMAN,Acid sphingomyelinase-like phosphodiesterase 3a OS=Homo sapiens OX=9606 GN=SMPDL3A PE=1 SV=2,SMPDL3A,6.2660E+4,2.7084E+4,6.5318E+4,6.6510E+4,5.3080E+4,5.5782E+4,7.5643E+4,7.8982E+4,7.8049E+4,8.7061E+4,#N/A,6.9909E+4,4.2227E+4,6.1213E+4,5.7187E+4,5.5064E+4,5.5568E+4,6.5838E+4
sp|Q92888|ARHG1_HUMAN,Rho guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=ARHGEF1 PE=1 SV=2,ARHGEF1,3.5038E+6,3.5751E+6,3.7638E+6,3.3139E+6,3.4471E+6,3.1635E+6,3.1339E+6,3.0662E+6,3.0912E+6,3.3273E+6,3.6604E+6,3.2565E+6,3.3638E+6,2.9735E+6,3.5281E+6,3.2298E+6,3.0279E+6,3.1199E+6
sp|Q92928|RAB1C_HUMAN,Putative Ras-related protein Rab-1C OS=Homo sapiens OX=9606 GN=RAB1C PE=5 SV=2,RAB1C,1.4129E+7,1.4882E+7,1.4817E+7,1.4121E+7,1.4433E+7,1.4811E+7,1.2229E+7,1.2451E+7,1.2472E+7,1.3502E+7,1.4078E+7,9.4509E+6,1.3281E+7,9.8053E+6,1.3625E+7,1.1231E+7,8.0137E+6,1.2017E+7
sp|Q92963|RIT1_HUMAN,GTP-binding protein Rit1 OS=Homo sapiens OX=9606 GN=RIT1 PE=1 SV=1,RIT1,1.8755E+4,3.9863E+4,7.7205E+4,2.0078E+4,2.8751E+4,#N/A,2.0755E+4,4.6831E+4,2.0182E+4,#N/A,#N/A,#N/A,#N/A,6.9865E+4,2.0468E+4,#N/A,2.0571E+3,3.3084E+4
sp|Q96BN8|OTUL_HUMAN,Ubiquitin thioesterase otulin OS=Homo sapiens OX=9606 GN=OTULIN PE=1 SV=3,OTULIN,1.7591E+6,1.4776E+6,1.3791E+6,1.6245E+6,1.4399E+6,1.3862E+6,1.2880E+6,1.3237E+6,1.2780E+6,1.6651E+6,1.5969E+6,1.5832E+6,1.4541E+6,1.5811E+6,1.5393E+6,1.3191E+6,1.3157E+6,1.3272E+6
sp|Q99442|SEC62_HUMAN,Translocation protein SEC62 OS=Homo sapiens OX=9606 GN=SEC62 PE=1 SV=1,SEC62,1.6015E+6,1.7478E+6,1.3767E+6,1.4064E+6,1.3492E+6,1.3512E+6,1.3359E+6,1.1888E+6,1.4942E+6,1.4759E+6,1.4307E+6,1.4700E+6,1.3135E+6,1.3210E+6,1.3706E+6,1.3663E+6,1.2756E+6,1.3154E+6
sp|Q9BVK6|TMED9_HUMAN,Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TMED9 PE=1 SV=2,TMED9,3.0226E+6,3.5016E+6,3.4691E+6,2.6416E+6,3.3719E+6,2.8955E+6,2.4718E+6,2.8035E+6,3.0818E+6,2.6975E+6,3.9500E+6,3.1243E+6,2.6316E+6,2.8507E+6,2.6806E+6,2.3342E+6,2.4780E+6,2.5783E+6
sp|Q9H201|EPN3_HUMAN,Epsin-3 OS=Homo sapiens OX=9606 GN=EPN3 PE=2 SV=1,EPN3,2.4891E+5,1.8786E+5,2.3343E+5,2.0813E+5,1.3599E+5,1.8823E+5,1.7490E+5,2.1218E+5,1.7843E+5,1.8332E+5,1.4389E+5,1.2803E+5,1.1141E+5,4.1791E+5,1.2756E+5,2.0834E+5,1.7451E+5,2.4362E+5
sp|Q9NQP4|PFD4_HUMAN,Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1,PFDN4,1.2650E+6,1.2987E+6,1.2533E+6,1.1986E+6,1.1701E+6,1.2453E+6,1.1371E+6,1.1113E+6,1.0795E+6,1.3362E+6,1.4422E+6,1.3965E+6,1.2901E+6,1.2719E+6,1.3571E+6,1.1993E+6,1.1667E+6,1.1065E+6
sp|Q9NSY1|BMP2K_HUMAN,BMP-2-inducible protein kinase OS=Homo sapiens OX=9606 GN=BMP2K PE=1 SV=2,BMP2K,2.8498E+5,2.3314E+5,2.6289E+5,2.9976E+5,3.3817E+5,3.1122E+5,3.1398E+5,1.9957E+5,3.3571E+5,2.4146E+5,1.8275E+5,2.1858E+5,2.7186E+5,2.3303E+5,3.9503E+5,2.9328E+5,3.0781E+5,3.9214E+5
sp|Q9NZN5|ARHGC_HUMAN,Rho guanine nucleotide exchange factor 12 OS=Homo sapiens OX=9606 GN=ARHGEF12 PE=1 SV=1,ARHGEF12,7.2845E+5,7.0603E+5,7.0596E+5,8.6010E+5,7.5186E+5,7.6458E+5,6.5248E+5,7.4176E+5,7.2872E+5,6.3389E+5,6.2142E+5,6.2971E+5,6.2744E+5,6.0358E+5,7.0724E+5,6.8244E+5,5.3819E+5,6.8504E+5
sp|Q9UET6|TRM7_HUMAN,Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase OS=Homo sapiens OX=9606 GN=FTSJ1 PE=1 SV=2,FTSJ1,3.6470E+5,3.6961E+5,3.4763E+5,3.2484E+5,3.6890E+5,3.3443E+5,3.5511E+5,4.0742E+5,3.6975E+5,3.3942E+5,3.2059E+5,3.8924E+5,3.1739E+5,3.3282E+5,3.6199E+5,3.4099E+5,3.3709E+5,3.2830E+5
sp|Q9UII2|ATIF1_HUMAN,"ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1",ATP5IF1,1.7634E+6,1.5787E+6,1.3770E+6,1.4697E+6,1.3476E+6,1.3143E+6,1.3979E+6,1.6665E+6,1.5168E+6,1.5231E+6,1.3749E+6,1.3362E+6,1.5288E+6,1.6253E+6,1.1668E+6,9.8099E+5,1.0549E+6,1.1649E+6
sp|Q9UJX0|OSGI1_HUMAN,Oxidative stress-induced growth inhibitor 1 OS=Homo sapiens OX=9606 GN=OSGIN1 PE=1 SV=4,OSGIN1,#N/A,7.4857E+3,#N/A,2.1144E+4,#N/A,#N/A,#N/A,#N/A,#N/A,3.3337E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UP95|S12A4_HUMAN,Solute carrier family 12 member 4 OS=Homo sapiens OX=9606 GN=SLC12A4 PE=1 SV=2,SLC12A4,1.0965E+6,1.0243E+6,1.1235E+6,1.2036E+6,1.2716E+6,1.5958E+6,1.1675E+6,1.0517E+6,1.0844E+6,1.1179E+6,1.0152E+6,1.2336E+6,1.4452E+6,1.5857E+6,1.4515E+6,1.3412E+6,1.0427E+6,1.1489E+6
sp|Q9Y244|POMP_HUMAN,Proteasome maturation protein OS=Homo sapiens OX=9606 GN=POMP PE=1 SV=1,POMP,7.4328E+5,3.1411E+5,6.0264E+5,2.9699E+5,3.2481E+5,4.7840E+5,2.9697E+5,5.0086E+5,5.6072E+5,2.8952E+5,2.3840E+5,5.6126E+5,2.8608E+5,3.9303E+5,3.5563E+5,2.7635E+5,3.4118E+5,7.2383E+5
sp|Q9Y6A1|POMT1_HUMAN,Protein O-mannosyl-transferase 1 OS=Homo sapiens OX=9606 GN=POMT1 PE=1 SV=3,POMT1,4.0234E+5,5.5796E+5,5.0663E+5,4.5604E+5,5.3093E+5,4.5902E+5,4.8048E+5,5.0257E+5,4.9161E+5,2.9674E+5,3.2755E+5,4.9940E+5,3.6768E+5,5.1052E+5,5.3761E+5,3.4032E+5,5.4036E+5,5.3404E+5
